customer_id,first_name,last_name,date_of_birth,gender
1,Julie,Sam,1989-01-12,F
2,Steve,Ryan,1983-04-03,M
4,Cathenna,Emily,1977-09-14,F
5,Aaron,Kim,1991-02-18,M
7,Anderson,Stewart,1992-01-11,M
9,Leo,Travis,1994-03-22,M
10,Melvin,Tracy,1995-04-23,M
11,Roger,Walson,1996-05-24,M
13,Solomon,Walter,1998-07-26,M
15,Linda,William,1986-09-28,F
17,Catherine,Shad,1988-11-09,F
18,Gloria,Richie,1989-12-04,F
22,Pheny,Eri,1999-01-29,M
24,Calvin,Willis,1994-02-15,M
25,Moss,Morris,2011-02-18,M
29,Watson,Ronald,1991-01-11,M
31,James,Robert,1994-04-12,M
44,Bily,Brian,2002-10-26,M
46,Louis,Douglas,1997-09-22,M
49,Russell,Peter,1996-06-01,M
50,Rose,Arthur,1996-05-23,F
